Rating;Employee Status;Review Title;Date;Pros;Cons;Num People Helpful
5.0;Current Employee, more than 3 years;Very innovative and not for the weak;Mar 17, 2022 - Anonymous Employee;remote work, newest equipment, lots of paid leave, collaborate with the biggest talent;hard to get promoted the bar is quite high;1
5.0;Current Employee, more than 3 years;Great place of work;Mar 24, 2022 - Senior Chargeback Analyst;Professional growth possibilitiesHumble teamCompetitive compensation packeagePossibility to change and develop processesVery beautiful office;Misscomunication between different departmens and product owners;0
4.0;Current Employee, more than 1 year;Support department in Revolut;Mar 12, 2022 - Technical Support Specialist;Multinational and young cultureLots of improvement opportunities Very dynamic;Poor work/life balanceIssues with HRNot enough salary for the responsibilities you have;0
1.0;Current Employee, less than 1 year;Run away from this company;Apr 13, 2022 - Operations Manager;Good salary and Capable people. Impactful Projects and you'll Learn how not to manage people. Nothing else. Cant add anything else;Work life balance non existentInsane focus on short term goalsChaotic managementHandover and training is non existentStress is guaranteed (bad kind)Scope of work is completely unbalanced;6
4.0;Current Employee;Revolut;Mar 12, 2022 - Software Engineer;Good officeCompetitive salaryNice place to work;Do not have anything say here yet;0
5.0;Current Employee, less than 1 year;Mr.;Mar 10, 2022 - Customer Service Specialist;Multisport, Luxmed, Dynamic work place, Carrier possibility;I can't really say there are any cons;0
5.0;Current Employee, more than 3 years;Top place to work for all proactive builders!;Mar 8, 2022 - Operations Manager;Career development with no limitsMulticulturalData driven (everything)Team of talents;None if you are (really) looking for a fast-paced environment with limitless opportunities;0
5.0;Current Employee, more than 3 years;Salary;Mar 7, 2022 - Team Leader;Happy with the salary, started with half of what I am earning now as analyst and the professional progrès is great;Can be quite chaotic so proactive approach is well advices;0
4.0;Current Employee, more than 5 years;great company;Mar 8, 2022 - Anonymous Employee;growth and personal development, culture, salary;sometimes seems to be messy;0
5.0;Current Employee;Cool;Mar 4, 2022 - Anonymous Employee;all is pros in this great company;no not all is good;0
5.0;Current Employee;Awesome culture for high achievers;Mar 1, 2022 - Executive;+ meritocratic+ a lot of learning;- not good for average people;1
3.0;Former Employee, more than 1 year;A lot of options to grow but at what cost;Mar 14, 2022 - Investigator;- a lot of room for growth - if you're lucky with a manager - your opinion really matters-if you received options in the past you definitely can't complain now;- very stressful, performance-oriented environment- people come and go as the pressure is way too high- they stopped caring about the quality of work long time ago, relying on outsourcing as the only thing that matters to them is expansion;2
4.0;Current Employee, more than 1 year;Good;Mar 23, 2022 - FinCrime Analyst;Good environment, nice people, the work is valued;The company offers low salaries;0
5.0;Current Employee, more than 3 years;Top place to work for all proactive builders!;Mar 8, 2022 - Operations Manager;Career development with no limitsMulticulturalData driven (everything)Team of talents;None if you are (really) looking for a fast-paced environment with limitless opportunities;0
4.0;Current Employee, more than 1 year;Support department in Revolut;Mar 12, 2022 - Technical Support Specialist;Multinational and young cultureLots of improvement opportunities Very dynamic;Poor work/life balanceIssues with HRNot enough salary for the responsibilities you have;0
5.0;Current Employee, more than 1 year;Compliance executive;Feb 22, 2022 - Executive Director, Head of Compliance and MLRO;Great place to develop compliance and fincrime skills, working with the best experts in the market.;Would be good to meet all colleagues in person more frequent, but it is not possible, since Revolut is true global organisation which hires employees in many countries.;0
5.0;Current Employee, less than 1 year;Super culture and teamwork company;Jan 31, 2022 - Anonymous Employee;+ dynamic environment+ flexibility with the remote work + 2 month remote working abroad+ a lot of interesting projects to work on+ great teamwork and international team+ professional team with positive and caring mindset;- organisation with huge growth so a little bit of changes / processes to be structured - other than this N/A;2
2.0;Current Employee, more than 1 year;Engineering excellence ruined by toxic product culture;Mar 24, 2021 - Senior Product Manager;Engineers are experienced and genuinely interested in building a good product. If you don't have a technical background, you will pick up a lot of new knowledge.The product moves very quickly and your work can have an impact of millions of people who use the product every day.Everyone is very motivated and hard-working, even if that motivation is driven by fear.;The company is only interested in making money. There is zero interest in understanding or solving customer problems, even when those problems are caused by our product. The approach to problem solving is totally top-down and backwards from the rest of the industry. You will not learn anything at Revolut about product development that will be applicable at other companies that are customer-oriented. You will only learn how to survive at Revolut.On a personal level, it really is a toxic workplace without trust or mutual respect. I think a lot of my colleagues are happy with their jobs because they believe the compensation is good and the experience will further their career, but I do not know a single person who enjoys their work whatsoever.Diversity is also a major issue. Less than 10% of managers are women. Fix this.Finally, the equity compensation system was changed recently and new hires should understand that it is much less beneficial than before. If you are considering taking a job at Revolut, read the fine print carefully and push for cash.;43
1.0;Former Employee, more than 1 year;Modern Day Corporate Dictatorship;Feb 20, 2022 - Anonymous Employee;Sort by lowest rating for the truth.There is a toxic culture of fear masked by friendly smiles and free cereal. And the problem, is the guy in charge.On my first day as an employee, when morale was still high, I was asked to leave a Glassdoor review on Slack. Do you know why they do this? Because they know that your first day...is your happiest day. The others have too high a stake in the company. That's why you see 3.8 stars, because otherwise it would be 1.0 instead.;Poor work life balance, toxic culture. CEO looks down on everyone and treats you like a rat in a lab. Most dispensable I've ever felt.;14
5.0;Current Employee, less than 1 year;Create your own path;Feb 18, 2022 - Senior Recruiter;- Opportunities and development like no other. - Amazing rewards and benefits. - Team environment. - Exposure to all levels.;Zero cons - just be yourself, thorough, innovative and hard-working. Good things will happen for you here if you put the effort in.;0
4.0;Current Employee;Workplace Coordinator;Mar 14, 2022 - Workplace Coordinator;Dream team, great people to work with;Workloads can be high and stressful at times;0
4.0;Current Employee;Good;Mar 14, 2022 - Workplace Concierge;Unlimited soft drinks Breakfast availableCompany events;High staff turnover hostile environment at times;0
5.0;Former Employee, more than 1 year;A crazy fun ride, though probably not for everyone...;Jan 4, 2022 - Lead Software Engineer;interesting projects, possibility to take as much initiative as one would want, extremely motivated and talented colleagues, possibility to reinvent bikes;necessity to reinvent bikes, depending on the team the work stile can be agile over the edge to the point of being chaotic and unpredictable, Revolut getting big enough for the processes to start taking noticeable amount of time, everyone works 24/7 so hard to have an 8-hour day without feeling the peer pressure;1
3.0;Current Employee, less than 1 year;Intenso;Apr 26, 2022 - Sales Development Representative (SDR);Remote WorkingGood work life balance Learning Experience;A bit unstructuredconstant changesNumeric Focus;0
5.0;Current Employee, less than 1 year;You'll be the most fulfilled and stretched you've ever felt;Jan 31, 2022 - Operations Manager;Ownership, smart people, tangible work;Get it done is used as an excuse to demand delivery without understanding the constraints people face. This is a start up transitioning from big small company to a small big company. How can we have day 0 mentality when we're tangled in red tape.;0
4.0;Current Employee, more than 3 years;Ye;Mar 14, 2022 - Technical Support Analyst;Remote, ping pong , fifa;Big company, metal card, career oportunity;0
5.0;Current Employee;NA;Mar 13, 2022 - Manager;Good place to learn about fintech;none comes to mind atm;0
5.0;Current Employee, more than 1 year;Fast Paced, High Growth;Feb 23, 2022 - Engineering Lead;- Lots of opportunity for career development- Interesting products in interesting domains- Get your feet wet in different product areas;- Delivery focussed, but I think it's a great thing;0
5.0;Current Employee, less than 1 year;Mr.;Mar 10, 2022 - Customer Service Specialist;Multisport, Luxmed, Dynamic work place, Carrier possibility;I can't really say there are any cons;0
5.0;Current Employee, less than 1 year;RevPlace;Feb 11, 2022 - Anonymous Employee;They make you feel welcomed from the first minute. They support you, motivate you and make you feel part of an amazing team.;A company in exponential growth will always have questions to solve but with real team spirit and work all will resolved and improved.;0
4.0;Current Employee;Revolut;Mar 12, 2022 - Software Engineer;Good officeCompetitive salaryNice place to work;Do not have anything say here yet;0
5.0;Current Employee, less than 1 year;Working at Revolut;Feb 11, 2022 - Recruiter;Work atmosphere / Work-life balance / Team spirit / Organised and structured environment / Benefits with great bonus policy / Support from the team / 100% remote /;Fast paced environment focused on achieving KPIs, I guess it's not everyone's cup of tea.;0
5.0;Former Employee, less than 1 year;Great place to work;Feb 17, 2022 - Sales Associate;Fantastic management and fun place;None that comes to mind;0
4.0;Former Employee;freelancer;Feb 16, 2022 - Freelance Copywriter;its a good experience to have learnt;always carries the lessons alone;0
3.0;Current Employee, more than 1 year;Overall hard working place;Mar 1, 2022 - Head of Outsourcing;Great technologyGreat peopleYou will learn a lot;Don't treat people well on exit Have to do all the hard work yourself;0
5.0;Current Employee, less than 1 year;Awesome company!;Feb 9, 2022 - Senior IOS Developer;* Interesting product* Good onboarding process* Good compensation level* A lot of benefits* Stock options* Referral program* Very friendly team;nothing to mention, all good;1
4.0;Current Employee, more than 1 year;It's alright;Feb 12, 2022 - Data Scientist;Lots to learn. Product is great;extremely high turnover, low morale;0
5.0;Current Employee, more than 1 year;Enjoyed working in Revolut;Feb 11, 2022 - Senior Operations Manager;Young teamAmazing infrastructureGet things done environment;Some processes are not mature - but that presents more opportunities!;0
5.0;Current Employee, less than 1 year;Working at Revolut;Feb 11, 2022 - Recruiter;Work atmosphere / Work-life balance / Team spirit / Organised and structured environment / Benefits with great bonus policy / Support from the team / 100% remote /;Fast paced environment focused on achieving KPIs, I guess it's not everyone's cup of tea.;0
5.0;Current Employee, less than 1 year;RevPlace;Feb 11, 2022 - Anonymous Employee;They make you feel welcomed from the first minute. They support you, motivate you and make you feel part of an amazing team.;A company in exponential growth will always have questions to solve but with real team spirit and work all will resolved and improved.;0
5.0;Current Employee, more than 1 year;Revolut is the Best;Feb 4, 2022 - Senior IOS Engineer;ProsAbility to work from home/abroadExcellent opportunity to learnBrilliant work life balance - Long vacationsSuper Great compensation & benefitsEasy to change/move office. There are many offices around the world.;No cons so far. All very good;2
1.0;Current Employee;Move on;Mar 16, 2022 - Anonymous Employee;Run as fast as you can;extremely toxic environment, leave now;2
4.0;Former Employee, more than 1 year;have a thick skin and you'll be fine;Feb 9, 2022 - Anonymous Employee;high salary. smart colleagues. aggressive and ambitious culture. for the right person the culture can be good. people want to have impact. dinner provided;stock options used to be valuable. if you are joining in 2022 they're not worth much anymore. most decisions are top down. no diversity at all. no work life balance but that is fine for the right people.;0
5.0;Current Employee, less than 1 year;Super culture and teamwork company;Jan 31, 2022 - Anonymous Employee;+ dynamic environment+ flexibility with the remote work + 2 month remote working abroad+ a lot of interesting projects to work on+ great teamwork and international team+ professional team with positive and caring mindset;- organisation with huge growth so a little bit of changes / processes to be structured - other than this N/A;2
4.0;Current Employee, more than 1 year;Good company with interesting opportunities;Feb 7, 2022 - Anonymous Employee;Exciting projects and good work-life balance;High level of change due to constant growth;0
5.0;Current Employee;Training is good.;Feb 5, 2022 - Sales Development Representative (SDR);Just started so cannot leave full review but so far so good.;None so far. A lot of info;0
1.0;Former Employee, less than 1 year;Do not recomment;Mar 13, 2022 - Financial Advisor;I do not have anything to say.;Do not recommend due to the disorganized environment,;1
4.0;Current Employee;H;Feb 4, 2022 - Manager;Good fast paced new skills;Nothing at the moment overall okay;0
5.0;Current Employee, less than 1 year;You'll be the most fulfilled and stretched you've ever felt;Jan 31, 2022 - Operations Manager;Ownership, smart people, tangible work;Get it done is used as an excuse to demand delivery without understanding the constraints people face. This is a start up transitioning from big small company to a small big company. How can we have day 0 mentality when we're tangled in red tape.;0
5.0;Current Employee, less than 1 year;Great Opportunity;Jan 27, 2022 - Sales Development Representative;You're driven to get the best out of yourself.;It's 100% work ethic everyday.;1
1.0;Current Employee, more than 3 years;Warning: toxic environment and sick political games;Mar 4, 2022 -;Nice benefits and cool merchandise (hurray!);Inhumane leadershipLack of care for employees' well-being (although they proud themselves of it, which in practice is a joke)Unprofessional behaviour disfavouring some due to personal reasons rather than their actual work performanceToxic culture and no work/life balanceMicromanagement and unachievable expectations with little to no trainingDishonesty is a given - they will promise the world verbally, then will not honour anything and claim those promises weren't madeComplete disregard for employees' career goals, moving them around as it's most convenient to them, even if it means deviating completely from your career pathLeaders manipulate and disrespect employees below them, while using them to look good to their superiors, who are hence obviously led to think anything is the team's fault, rather than poor people managementCareer progression? Maybe, if you work 14+ hours/day, give up on anything unrelated to work, dedicate 200% of yourself to achieving KPIs that are not set properly, and pray that they don't find any technicality not to give you a promotion (which I've seen happening numerous times), and it's still a huge MAYBEThe list could go on...;3
5.0;Current Employee, more than 1 year;Friendly and healthy atmosphere, flexibility and challenging tasks;Jan 27, 2022 - Customer Support;I’ve been working in Revolut for 2 years and I still love it.- Flexibility: we can work 60 days a year fromabroad, it allows me to travel a lot and not to depend on my office chair:))- We can work from home or lovely office with hot meals provided, totally up to me- Awesome team, super fun and friendly - Cool product, you matter and you change - Career opportunities: you have everything to grow if you have such intentionsBut of course, it’s expected that you’d deliver, workload is high, KPI and tasks are challenging and certain pressure applied if you’re responsible enough.;Nothing major for now, slow HR tho;0
3.0;Current Employee;could be worse, could be better;Mar 15, 2022 - Anonymous Employee;learn a lot of information, the colleagues are very helpful, opportunities to grow in your role and outside of it;the workload is high, can be a stressful workplace with a lot of pressure, and difficult to reach KPIs;0
4.0;Current Employee, less than 1 year;Tremendous learning experience;Jan 12, 2022 - Talent Sourcer;-High speed growth in a very positive way. Revolut is a dynamic company and you learn something new all the time.;-As a consequence of high speed growth, there are very ambitious KPI's to achieve that can really take a toll on you if we're not careful with managing work hours;0
3.0;Current Employee, more than 1 year;Terrible Culture;Mar 26, 2022 - Anonymous Employee;Smart, motivated colleagues. Great product.;Horrible culture, which is driving out all the good people. No camaraderie among team.;3
5.0;Former Employee, less than 1 year;Great place to work;Feb 17, 2022 - Sales Associate;Fantastic management and fun place;None that comes to mind;0
5.0;Former Employee;Nice company;Feb 17, 2022 - Anonymous Employee;there are lots of pros;there are none of cons;0
5.0;Current Employee, less than 1 year;Great place to work at;Jan 7, 2022 - Backend Engineer;- Lots of learning- Top tier coworkers- Great pay- Remote offering- Top code quality- Objective based - Working hours flexibility;I don't have any. I know I might sound biased, and I've just been at Revolut 1 month, but my time here has been superb.;1
4.0;Former Employee;freelancer;Feb 16, 2022 - Freelance Copywriter;its a good experience to have learnt;always carries the lessons alone;0
3.0;Current Employee, less than 1 year;Caotic;Mar 16, 2022 - Data Analyst;from my short experience, I cant say nothing has been good for now;very bad onboarding, nobody gives you a hint on data, ask for access and been waiting for more than 1 week to get approved;0
5.0;Current Employee;Training is good.;Feb 5, 2022 - Sales Development Representative (SDR);Just started so cannot leave full review but so far so good.;None so far. A lot of info;0
5.0;Current Employee, less than 1 year;Good;Jan 12, 2022 - Strategy and Operations Manager;Great learning opportunity in a fast paced environment. Working with extremely smart people.;Difference in policy implementation for internal and externally hired employees;2
1.0;Current Employee, more than 3 years;RUN. The most toxic, demeaning, disrespectful environment I've ever worked in.;Feb 14, 2022 - Recruiting Coordinator;Benefits that other companies don't offer;The leadership goes the extra mile to humiliate and disrespect employees of any seniority to a point of mental breakdowns and diminish them until they feel useless professionals and even human beings. No matter the position, DO NOT MAKE THE MISTAKE OF JOINING THIS TOXIC COMPANY.;18
5.0;Current Employee;Great company!;Jan 20, 2022 - Operations Manager;experience, exposure, hands on help;Long working hours and targets to achieve;0
4.0;Former Employee, less than 1 year;Good;Jan 20, 2022 - Anonymous Employee;Multinationality is the main plus;Salary could be adjusted to todays values;0
5.0;Current Employee, more than 1 year;Everything is good;Jan 18, 2022 - Android Developer;Good salary, good bonuses, interesting tasks;Bad office, no fitness compensation;0
5.0;Current Employee, less than 1 year;Just getting started;Jan 19, 2022 - Risk Manager;- focus on shipping with quality- focus on open communication (everyone is reachable via slack);- difficult to get also the accesses up and running;0
5.0;Current Employee, less than 1 year;Good;Jan 12, 2022 - Strategy and Operations Manager;Great learning opportunity in a fast paced environment. Working with extremely smart people.;Difference in policy implementation for internal and externally hired employees;2
3.0;Current Employee;Quick career boost... or not;Jan 31, 2022 - Customer Support Specialist;Great salary offered, benefits for Support employees including late night taxi and dinners. You have loads of opportunities to grow by changing departments or grwing within yours;Very chaotic and not structured. If you come to new department prepare yourself for mess with scope, reporting lines. Lack of communication between teams. Absolutely mess with reward system.;1
5.0;Current Employee, less than 1 year;Get it done;Jan 17, 2022 - Financial Crime Manager;You can get things done here. You can make things better.;Roles and responsibilities can get a little confused;0
5.0;Current Employee, less than 1 year;Great company (perspective from a 2-week newbie);Jan 11, 2022 - Complaints Analyst;"- Training is very complete. They do want you to be fully informed and prepared for your work.- They care about your well-being. They even have a ""workplace experience"" team, which is something I've never heard of, that makes sure we are happy and that we have a good experience as Revolut employees. - Coworkers are friendly and supportive. - Communication flows. You have the information you need (and it's updated) in their internal knowledge base. You do have everything you need to do your job correctly. - Haven't been there yet but the office experience seems great (I'm WFM)";- Recruitment team could have better knowledge of the job opportunities they recruit for and contractual information.;2
5.0;Current Employee, less than 1 year;Love working at Revolut;Dec 30, 2021 - Recruitment Sourcer;1. Hard work is rewarded2. Quick promotions3. There is a clear road map about what you need to do in order to progress to the next level4. Revolut gives a chance to candidates who have had a break in their career5. Excellent maternity policy6. Excellent leave policy7. Working hours are flexible8. Revolut lets you work 60 days from outside the country in a year9. Invests in software that help make employees jobs easier10. The recruitment team that I work with is excellent;1. Revolut has the worst HR ever where when you raise a ticket for a problem being faced, you chase the person the ticket was assigned to but get no reply2. HR makes mistakes and does not want to be held accountable for it and the employees have to suffer unless they take a strong stance3. The management is not on the same page regarding a lot of things and one person would say one thing and the next would be saying the complete opposite which confuses juniors/mids in the teams4. Too many reporting managers with one to one sessions with each of them weekly is a bit too much at times;5
5.0;Current Employee, more than 10 years;The best fintech;Jan 27, 2022 - Sales Development Representative (SDR);If you are good, you get rewarded;Don't know yet. Still new to the company;0
4.0;Former Employee, less than 1 year;Challenging and rewarding;Jan 10, 2022 - Product Owner;• Colleagues real profesionals of their areas• Stock options / salaries• Nice offices;• Work culture does not support work/life balance• Teams more or less encouraged to compete, rather support each other;1
4.0;Current Employee, less than 1 year;Impressive business, always improving;Nov 16, 2021 - Business Customer Support Specialist;-training is very well organised-small training groups-very good instructors-transparent company (internally and externally);-the laptop provided is not the best quality (and you can not choice Chromebook or MacBook)-not all internal platforms where available from Day 1, which effect training- pay is too low-too many different platforms used (should be reduced, or some sort of integration to make it easier, as it can get confused on what to use and when)-laptop was sent before the Day 1 email;1
3.0;Current Employee;Quick career boost... or not;Jan 31, 2022 - Customer Support Specialist;Great salary offered, benefits for Support employees including late night taxi and dinners. You have loads of opportunities to grow by changing departments or grwing within yours;Very chaotic and not structured. If you come to new department prepare yourself for mess with scope, reporting lines. Lack of communication between teams. Absolutely mess with reward system.;1
5.0;Current Employee, more than 1 year;Cool company to work at;Dec 7, 2021 - Risk Manager;Top players around, exciting challenges, open-minded approach of the company to new initiatives, ability to express yourself and be/feel important to the team;Fast tempo (sometimes too fast), very high-focus on deliveries (sometimes brings lack of joy for your work);0
5.0;Current Employee, more than 1 year;Best company ever if you willing to put in the efforts and work hard;Aug 15, 2021 - Senior Backend Engineer;- Competetive salary- Outstanding shares package- Strongest experts / people surrounding you- Ambitious company plans to conquer the world;- Work life balance might suffer IF you accept it and IF you choose to overcontribute. - This is the company where you can't be a mediocre, it is hard cause you don't wont feel like a part of a bigger game that everyone is involved in. - You have to figure out a lot on your own and be initiative because there are littely processes in place - hence tremendous opportunity to exercise your skills - and you have to take ownership of many things if you want changes to come. Not that many people have this kind of stamina.;1
5.0;Current Employee, more than 1 year;Great Place to work!;Dec 29, 2021 - Anonymous Employee;Career growth Opportunity to change (you're being heard in this company);Career development innvestments (you do your road yourself);1
4.0;Former Employee, less than 1 year;Sensational product, tough culture;Jan 12, 2022 - Marketing;super smart peopleoutstanding products, innovation;marketing not perceived as a key driver of value;1
5.0;Current Employee, more than 1 year;Amazing company;Jan 22, 2022 - Backend Developer;Comptetive salaries and stock options, flexible work from home culture;Sometimes amount of work can be overwhelming;0
5.0;Current Employee, less than 1 year;An Excellent Organisation;Nov 8, 2021 - Recruiting Lead;Excellent people hired across the businessGood leadershipAutonomy Good perks and benefitsCareer progression is very much an option, provided you perform;There is a lack of structure at times and you are left to figure quite a lot of things out for yourself on arrival, that being said - you won't need to look far to find someone who will go out of their way to help you.;0
5.0;Current Employee, less than 1 year;Get it done;Jan 17, 2022 - Financial Crime Manager;You can get things done here. You can make things better.;Roles and responsibilities can get a little confused;0
3.0;Former Employee, more than 1 year;Fast Paced = Toxic;Oct 29, 2021 - Recruiter;Good company perks - deliveroo, free tea coffee snacks, great socials, travel opportunities. Nice individuals. Lots of paid holiday days. Great office location.;You get lots of paid holiday days because you need it. They work you to the bone, and senior management are very very intense. I've seen people leave meetings with the CEO crying. There was a meeting room with misted glass that everyone used to go into to cry.;25
3.0;Current Employee, less than 1 year;Great potential, great systems, recruitment process unrealistic;Mar 11, 2022 - Recruiter;Nice offices, perks and systems;Ambiguous work environment, teams and roles change over night.;1
4.0;Current Employee, less than 1 year;Great team!;Jan 12, 2022 - Recruiting Sourcer;Flixibility + great team + everything is well structured + remote job + metal card;A lot of work, pressure because of KPI's;0
1.0;Current Employee, more than 1 year;It’s a bit of a roulette, may be ok, may be terrible;Jun 5, 2021 - Software Engineer;Decent pay, but not something you wouldn’t get somewhere else.You may be lucky enough to end up in a good team, with colleagues sharing your mindset. Or not.;Can’t stress enough how much senior managament lacks leadership. However, it doesn’t look like something is going to change. They try to sell you some ideas like “hypergrowth”, “not for everyone” just to mask out the demeaning and toxic way in which senior management behaves.From engineering point of view, don’t expect a consistent progress in your career. You’re hired to get it done, not to come up with ideas. Processes are chaotic and very few things are actually streamlined. Some people are still working towards proving themselves, so 10-12 hours work days are a thing. If you don’t do it, don’t ever expect any kind of meaningful recognition. Work smart, not hard, might be the case, but, let’s not forget, they hire smart people.Quite a few experienced and good engineers have either left or started laying low, just because things don’t seem to change. It’s difficult to find the will to prove yourself in front of someone who gives you no reasons to respect them/inspire you. If you’re a yes man, then be prepared for burnout.Also, having managers telling everyone “good job” on every little thing, is not recognition. Just diminishes the meaning of what “good job” means. And we can tell they don’t actually mean it.;23
5.0;Current Employee;Great company!;Jan 20, 2022 - Operations Manager;experience, exposure, hands on help;Long working hours and targets to achieve;0
4.0;Former Employee, less than 1 year;Good;Jan 20, 2022 - Anonymous Employee;Multinationality is the main plus;Salary could be adjusted to todays values;0
5.0;Current Employee, more than 1 year;Everything is good;Jan 18, 2022 - Android Developer;Good salary, good bonuses, interesting tasks;Bad office, no fitness compensation;0
4.0;Former Employee, more than 1 year;Great Role;Jan 7, 2022 - Sales Manager;exciting, refreshing, energetic, well paid;a lot of pressure to perform well month after month even if you are one of the best;0
4.0;Current Employee, less than 1 year;Good enough;Jan 13, 2022 - Sales Development Representative (SDR);-Time flexibility regarding your working schedule of your day to day.;-Lack of communication between departments.;0
5.0;Current Employee, less than 1 year;Powerfull team;Dec 13, 2021 - Engineer;Excellent people, fast growing organisation. I am glad there are engineering team like Revolut out there;nothing to be added, the team is great;0
5.0;Current Employee;Excellent Onboarding;Jan 11, 2022 - Team Lead;Very good assetsGood communicationAmazing onboarding;There's always things to improve, but nothing really important, just small details.;0
4.0;Current Employee;good place to work;Jan 3, 2022 - Executive Recruiter;1. Supportive team and colleagues.;1. No work life balance.;3
3.0;Current Employee, more than 1 year;Overall hard working place;Mar 1, 2022 - Head of Outsourcing;Great technologyGreat peopleYou will learn a lot;Don't treat people well on exit Have to do all the hard work yourself;0
5.0;Current Employee, more than 1 year;Good atmosphere;Jan 12, 2022 - Technical Support Engineer;Good salary and good atmosphere.;Not many cons so far.;0
1.0;Current Employee, more than 1 year;Avoid at all costs;Aug 19, 2021 - Ops Lead;Growing on the day and night work of its people, nice business outlook which makes our executives and company rich.;Toxic company that pays below the market while expecting 10x more commitment on the employees’ side. The “senior” managers don’t do much while using every single underpaid resource under them to accomplish their goals. There is a huge discrepancy between the compensation and benefits available to the employees in Poland vs. what they give to their employees in London - in terms of sign on bonuses and performance bonuses. Especially if you are working for Customer Support or FinCrime Services departments, you are by default inferior. Targets are very challenging and have not been revised for years. No flexibility in work or sense of job security - if you perform Average minus as they call it, you’re really close to getting fired. Heads of the Departments earning two or three times more than managers simply ignore what’s happening and enjoy their lovely, 8-10 hour daily work lives. Find another company where you would be valued beyond words and work for them. Wouldn’t worth dealing even with egos you’ll meet and have to tolerate.;11
4.0;Current Employee, less than 1 year;Never Settle Environment;Nov 22, 2021 - FinCrime Analyst;- Feel like you can make an impact since very start.- Surrounded by smart and unique people.- Great chance to strive and learn a lot.;Porto HR team was not so prepared to have this big change in employee numbers.Lack of response related to information regarding salary changes.;2
5.0;Current Employee;Growing Fintech;Jan 7, 2022 - Senior Finance Manager;Dynamic environmentMultitaskingAbility to see top-down;Lack of personnelSometimes bad management;0
4.0;Current Employee;Fast moving and great projects;Dec 17, 2021 - Anonymous Employee;- Offers great variety of work and interesting projects- Still has the 'day one' culture;- Base salary can be less competitive compared to industry standards/other firms;0
5.0;Current Employee;Amazing opportunity;Dec 10, 2021 - Anonymous Employee;- strong earning potential in one of the most exciting companies in the UK- world class management, support, tools;- heavily focused on performance so if you aren’t performing well it could be hard;0
5.0;Current Employee, less than 1 year;Powerfull team;Dec 13, 2021 - Engineer;Excellent people, fast growing organisation. I am glad there are engineering team like Revolut out there;nothing to be added, the team is great;0
3.0;Former Employee, less than 1 year;Good place to work but imbalance on personal life;Dec 27, 2021 - Anonymous Employee;Good working environment and nice people to work with.;Crazy work life balance imbalance.;0
5.0;Current Employee;Best Job I have ever had;Dec 10, 2021 - Recruiter;Fast paced work environment I was promoted after 1 month Given fantastic opportunities;n/a - I do not currently have any issues with this job.;0
5.0;Current Employee;Amazing opportunity;Dec 10, 2021 - Anonymous Employee;- strong earning potential in one of the most exciting companies in the UK- world class management, support, tools;- heavily focused on performance so if you aren’t performing well it could be hard;0
5.0;Current Employee, less than 1 year;Modern fast-growing company;Dec 6, 2021 - Software Engineer;Modern technologies, best engineering practices, flexible.;One monolith still exists, but you may never touch it. It can take time to get used to some home-grown technologies, but nothing serious comparing to big tech.;0
5.0;Current Employee, more than 1 year;Cool company to work at;Dec 7, 2021 - Risk Manager;Top players around, exciting challenges, open-minded approach of the company to new initiatives, ability to express yourself and be/feel important to the team;Fast tempo (sometimes too fast), very high-focus on deliveries (sometimes brings lack of joy for your work);0
5.0;Current Employee, more than 1 year;Feedback;Dec 6, 2021 - Senior Manager;- Ambitious- SMart people - Great product;- Lack of governance- Turnover too high;0
3.0;Former Employee, more than 1 year;Fast Paced = Toxic;Oct 29, 2021 - Recruiter;Good company perks - deliveroo, free tea coffee snacks, great socials, travel opportunities. Nice individuals. Lots of paid holiday days. Great office location.;You get lots of paid holiday days because you need it. They work you to the bone, and senior management are very very intense. I've seen people leave meetings with the CEO crying. There was a meeting room with misted glass that everyone used to go into to cry.;25
5.0;Current Employee;Great company to work for;Nov 26, 2021 - Business Transformation Manager;Interesting work, very smart peers;Long hours, pressure to achieve results, but no more than other high performing companies.;2
5.0;Current Employee, less than 1 year;10/10 best job I ever has;Dec 2, 2021 - FinCrime Analyst;Remote work, Good environment, Benefits, Wage and flexibility;Kpis are quite hard sometimes;0
1.0;Current Employee, more than 1 year;Oh boy, where do I start...;Feb 16, 2022 - Sales;Long hours.No work life balance.People are treated like nothing.You are a number, performance does matter, the rest is secondary.Management is abusive, no people skills.Hire and fire mentality.Destroys your CV.;Nothing I can think of.;7
2.0;Current Employee, more than 3 years;It used to be a great place to work but not any longer.;Aug 15, 2021 - FinCrime Analyst;- hot brand (recognizable by other employers) - friendly peers- decent compensation + benefits + biannual bonuses- you can be promoted once per every 12 months- being a part of a game-changing company with a great product- if you will manage here, most likely you will manage everywhere else- diversity and inclusion;- very limited room for development- micromanagement, literally everywhere- no work-life balance (working 24h including weekends and Bank Holidays)- no space for creativity, employees' only task is to get it done, providing feedback is more for fun than for actual purposes- general atmosphere in the company and constant pressure (high staff turnover);8
2.0;Current Employee;Empty promises. Undervalued people;Jan 14, 2022 - Anonymous Employee;Payment on time. Coworkers are nice.;Company culture portrayed to the public is lightyears from the actual reality. A lot of problems with managemnt and comunication pipeline. People are overworked and with additional responsibilities no additional payment. People hired from outside whole there are good candidates inside.;2
